,id,infinitive,definition,mood,subject,tense,answer,translation
37,37,to register,registrar,Perfecto,you,Pasado,had registered,te habias registrado
38,38,to register,registrar,Perfecto,you,Futuro,will have registered,te habrás registrado
39,39,to register,registrar,Perfecto,they,Presente,have registered,se han registrado
40,40,to register,registrar,Perfecto,they,Pasado,had registered,se habían registrado
41,41,to register,registrar,Perfecto,they,Futuro,will have registered,habrán registrado
42,42,to register,registrar,Imperativo,you,Afirmativo,register,registro
43,43,to register,registrar,Imperativo,you,Negativo,don't register,no registrarse
44,44,to register,registrar,Imperativo,we,Afirmativo,let's register,registrémonos
45,45,to register,registrar,Imperativo,we,Negativo,let's not register,no nos registremos
46,46,to register,registrar,Imperativo,you,Afirmativo,register,registro
47,47,to register,registrar,Imperativo,you,Negativo,don't register,no registrarse
48,48,to register,registrar,Continuo,I,Presente,am registering,me estoy registrando
49,49,to register,registrar,Continuo,I,Pasado,was registering,me estaba registrando
50,50,to register,registrar,Continuo,I,Futuro,will be registering,me estaré registrando
51,51,to register,registrar,Continuo,you,Presente,are registering,te estas registrando
52,52,to register,registrar,Continuo,you,Pasado,were registering,estabas registrando
53,53,to register,registrar,Continuo,you,Futuro,will be registering,te estarás registrando
54,54,to register,registrar,Continuo,he,Presente,is registering,él se está registrando
55,55,to register,registrar,Continuo,she,Presente,is registering,ella se está registrando
56,56,to register,registrar,Continuo,he,Pasado,was registering,se estaba registrando
57,57,to register,registrar,Continuo,she,Pasado,was registering,ella se estaba registrando
58,58,to register,registrar,Continuo,he,Futuro,will be registering,él se registrará
59,59,to register,registrar,Continuo,she,Futuro,will be registering,ella se registrará
60,60,to register,registrar,Continuo,we,Presente,are registering,nos estamos registrando
61,61,to register,registrar,Continuo,we,Pasado,were registering,nos estábamos registrando
62,62,to register,registrar,Continuo,we,Futuro,will be registering,nos estaremos registrando
63,63,to register,registrar,Continuo,you,Presente,are registering,te estas registrando
64,64,to register,registrar,Continuo,you,Pasado,were registering,estabas registrando
65,65,to register,registrar,Continuo,you,Futuro,will be registering,te estarás registrando
66,66,to register,registrar,Continuo,they,Presente,are registering,ellos estan registrando
67,67,to register,registrar,Continuo,they,Pasado,were registering,se estaban registrando
68,68,to register,registrar,Continuo,they,Futuro,will be registering,ellos se registraran
69,69,to register,registrar,Continuo Perfecto,I,Presente,have been registering,me he estado registrando
70,70,to register,registrar,Continuo Perfecto,I,Pasado,had been registering,me había estado registrando
71,71,to register,registrar,Continuo Perfecto,I,Futuro,will have been registering,habré estado registrando
72,72,to register,registrar,Continuo Perfecto,you,Presente,have been registering,has estado registrando
73,73,to register,registrar,Continuo Perfecto,you,Pasado,had been registering,habías estado registrando
74,74,to register,registrar,Continuo Perfecto,you,Futuro,will have been registering,habrás estado registrando
75,75,to register,registrar,Continuo Perfecto,he,Presente,has been registering,el ha estado registrando
76,76,to register,registrar,Continuo Perfecto,she,Presente,has been registering,ella ha estado registrando
77,77,to register,registrar,Continuo Perfecto,he,Pasado,had been registering,él había estado registrando
78,78,to register,registrar,Continuo Perfecto,she,Pasado,had been registering,ella había estado registrando
79,79,to register,registrar,Continuo Perfecto,he,Futuro,will have been registering,el habra estado registrando
80,80,to register,registrar,Continuo Perfecto,she,Futuro,will have been registering,ella se habrá estado registrando
81,81,to register,registrar,Continuo Perfecto,we,Presente,have been registering,nos hemos estado registrando
82,82,to register,registrar,Continuo Perfecto,we,Pasado,had been registering,habíamos estado registrando
83,83,to register,registrar,Continuo Perfecto,we,Futuro,will have been registering,habremos estado registrando
84,84,to register,registrar,Continuo Perfecto,you,Presente,have been registering,has estado registrando
85,85,to register,registrar,Continuo Perfecto,you,Pasado,had been registering,habías estado registrando
86,86,to register,registrar,Continuo Perfecto,you,Futuro,will have been registering,habrás estado registrando
87,87,to register,registrar,Continuo Perfecto,they,Presente,have been registering,se han estado registrando
88,88,to register,registrar,Continuo Perfecto,they,Pasado,had been registering,ellos habían estado registrando
89,89,to register,registrar,Continuo Perfecto,they,Futuro,will have been registering,habrán estado registrando
90,90,to champion,defender,Indicativo,I,Presente,champion,yo campeón
91,91,to champion,defender,Indicativo,I,Pasado,championed,yo defendí
92,92,to champion,defender,Indicativo,I,Futuro,will champion,yo voy a campeón
93,93,to champion,defender,Indicativo,you,Presente,champion,tu campeón
94,94,to champion,defender,Indicativo,you,Pasado,championed,tu defendiste
95,95,to champion,defender,Indicativo,you,Futuro,will champion,vas a campeón
96,96,to champion,defender,Indicativo,he,Presente,champions,los campeones
97,97,to champion,defender,Indicativo,she,Presente,champions,ella campeona
98,98,to champion,defender,Indicativo,he,Pasado,championed,él defendió
99,99,to champion,defender,Indicativo,she,Pasado,championed,ella defendió
100,100,to champion,defender,Indicativo,he,Futuro,will champion,él va a campeón
101,101,to champion,defender,Indicativo,she,Futuro,will champion,ella va a campeón
102,102,to champion,defender,Indicativo,we,Presente,champion,nosotros campeones
103,103,to champion,defender,Indicativo,we,Pasado,championed,defendimos
104,104,to champion,defender,Indicativo,we,Futuro,will champion,vamos a campeón
105,105,to champion,defender,Indicativo,you,Presente,champion,tu campeón
106,106,to champion,defender,Indicativo,you,Pasado,championed,tu defendiste
107,107,to champion,defender,Indicativo,you,Futuro,will champion,vas a campeón
108,108,to champion,defender,Indicativo,they,Presente,champion,ellos campeón
109,109,to champion,defender,Indicativo,they,Pasado,championed,ellos defendieron
110,110,to champion,defender,Indicativo,they,Futuro,will champion,ellos van a campeón
111,111,to champion,defender,Perfecto,I,Presente,have championed,he defendido
112,112,to champion,defender,Perfecto,I,Pasado,had championed,yo había defendido
113,113,to champion,defender,Perfecto,I,Futuro,will have championed,habré defendido
114,114,to champion,defender,Perfecto,you,Presente,have championed,usted ha defendido
115,115,to champion,defender,Perfecto,you,Pasado,had championed,habías defendido
116,116,to champion,defender,Perfecto,you,Futuro,will have championed,habrás defendido
117,117,to champion,defender,Perfecto,he,Presente,has championed,él ha defendido
118,118,to champion,defender,Perfecto,she,Presente,has championed,ella ha defendido
119,119,to champion,defender,Perfecto,he,Pasado,had championed,él había defendido
120,120,to champion,defender,Perfecto,she,Pasado,had championed,ella había defendido
121,121,to champion,defender,Perfecto,he,Futuro,will have championed,él habrá defendido
122,122,to champion,defender,Perfecto,she,Futuro,will have championed,ella habrá defendido
123,123,to champion,defender,Perfecto,we,Presente,have championed,hemos defendido
124,124,to champion,defender,Perfecto,we,Pasado,had championed,habíamos defendido
125,125,to champion,defender,Perfecto,we,Futuro,will have championed,habremos defendido
126,126,to champion,defender,Perfecto,you,Presente,have championed,usted ha defendido
127,127,to champion,defender,Perfecto,you,Pasado,had championed,habías defendido
128,128,to champion,defender,Perfecto,you,Futuro,will have championed,habrás defendido
129,129,to champion,defender,Perfecto,they,Presente,have championed,ellos han defendido
130,130,to champion,defender,Perfecto,they,Pasado,had championed,ellos habían defendido
131,131,to champion,defender,Perfecto,they,Futuro,will have championed,habrán defendido
132,132,to champion,defender,Imperativo,you,Afirmativo,champion,campeona
133,133,to champion,defender,Imperativo,you,Negativo,don't champion,no campeón
134,134,to champion,defender,Imperativo,we,Afirmativo,let's champion,vamos a campeón
135,135,to champion,defender,Imperativo,we,Negativo,let's not champion,no campeones
136,136,to champion,defender,Imperativo,you,Afirmativo,champion,campeona
137,137,to champion,defender,Imperativo,you,Negativo,don't champion,no campeón
138,138,to champion,defender,Continuo,I,Presente,am championing,yo estoy defendiendo
139,139,to champion,defender,Continuo,I,Pasado,was championing,yo estaba defendiendo
140,140,to champion,defender,Continuo,I,Futuro,will be championing,voy a estar defendiendo
141,141,to champion,defender,Continuo,you,Presente,are championing,tu estas defendiendo
142,142,to champion,defender,Continuo,you,Pasado,were championing,tu estabas defendiendo
143,143,to champion,defender,Continuo,you,Futuro,will be championing,estarás defendiendo
144,144,to champion,defender,Continuo,he,Presente,is championing,él está defendiendo
145,145,to champion,defender,Continuo,she,Presente,is championing,ella esta defendiendo
146,146,to champion,defender,Continuo,he,Pasado,was championing,él estaba defendiendo
147,147,to champion,defender,Continuo,she,Pasado,was championing,ella estaba defendiendo
148,148,to champion,defender,Continuo,he,Futuro,will be championing,él estará defendiendo
149,149,to champion,defender,Continuo,she,Futuro,will be championing,ella estará defendiendo
150,150,to champion,defender,Continuo,we,Presente,are championing,estamos defendiendo
151,151,to champion,defender,Continuo,we,Pasado,were championing,nosotros estábamos defendiendo
152,152,to champion,defender,Continuo,we,Futuro,will be championing,estaremos defendiendo
153,153,to champion,defender,Continuo,you,Presente,are championing,tu estas defendiendo
154,154,to champion,defender,Continuo,you,Pasado,were championing,tu estabas defendiendo
155,155,to champion,defender,Continuo,you,Futuro,will be championing,estarás defendiendo
156,156,to champion,defender,Continuo,they,Presente,are championing,ellos están defendiendo
157,157,to champion,defender,Continuo,they,Pasado,were championing,ellos estaban defendiendo
158,158,to champion,defender,Continuo,they,Futuro,will be championing,ellos estarán defendiendo
159,159,to champion,defender,Continuo Perfecto,I,Presente,have been championing,he estado defendiendo
160,160,to champion,defender,Continuo Perfecto,I,Pasado,had been championing,había estado defendiendo
161,161,to champion,defender,Continuo Perfecto,I,Futuro,will have been championing,habré estado defendiendo
162,162,to champion,defender,Continuo Perfecto,you,Presente,have been championing,has estado defendiendo
163,163,to champion,defender,Continuo Perfecto,you,Pasado,had been championing,habías estado defendiendo
164,164,to champion,defender,Continuo Perfecto,you,Futuro,will have been championing,habrás estado defendiendo
165,165,to champion,defender,Continuo Perfecto,he,Presente,has been championing,él ha estado defendiendo
166,166,to champion,defender,Continuo Perfecto,she,Presente,has been championing,ella ha estado defendiendo
167,167,to champion,defender,Continuo Perfecto,he,Pasado,had been championing,él había estado defendiendo
168,168,to champion,defender,Continuo Perfecto,she,Pasado,had been championing,ella había estado defendiendo
169,169,to champion,defender,Continuo Perfecto,he,Futuro,will have been championing,él habrá estado defendiendo
170,170,to champion,defender,Continuo Perfecto,she,Futuro,will have been championing,ella habrá estado defendiendo
171,171,to champion,defender,Continuo Perfecto,we,Presente,have been championing,hemos estado defendiendo
172,172,to champion,defender,Continuo Perfecto,we,Pasado,had been championing,habíamos estado defendiendo
173,173,to champion,defender,Continuo Perfecto,we,Futuro,will have been championing,habremos estado defendiendo
174,174,to champion,defender,Continuo Perfecto,you,Presente,have been championing,has estado defendiendo
175,175,to champion,defender,Continuo Perfecto,you,Pasado,had been championing,habías estado defendiendo
176,176,to champion,defender,Continuo Perfecto,you,Futuro,will have been championing,habrás estado defendiendo
177,177,to champion,defender,Continuo Perfecto,they,Presente,have been championing,han estado defendiendo
178,178,to champion,defender,Continuo Perfecto,they,Pasado,had been championing,habían estado defendiendo
179,179,to champion,defender,Continuo Perfecto,they,Futuro,will have been championing,habrán estado defendiendo
180,180,to search,buscar,Indicativo,I,Presente,search,busco
181,181,to search,buscar,Indicativo,I,Pasado,searched,yo busqué
182,182,to search,buscar,Indicativo,I,Futuro,will search,lo buscare
183,183,to search,buscar,Indicativo,you,Presente,search,tú buscas
184,184,to search,buscar,Indicativo,you,Pasado,searched,has buscado
185,185,to search,buscar,Indicativo,you,Futuro,will search,buscarás
186,186,to search,buscar,Indicativo,he,Presente,searches,el busca
187,187,to search,buscar,Indicativo,she,Presente,searches,ella busca
188,188,to search,buscar,Indicativo,he,Pasado,searched,el buscó
189,189,to search,buscar,Indicativo,she,Pasado,searched,ella buscó
190,190,to search,buscar,Indicativo,he,Futuro,will search,él buscará
191,191,to search,buscar,Indicativo,she,Futuro,will search,ella buscará
192,192,to search,buscar,Indicativo,we,Presente,search,nosotros buscamos
193,193,to search,buscar,Indicativo,we,Pasado,searched,buscamos
194,194,to search,buscar,Indicativo,we,Futuro,will search,buscaremos
195,195,to search,buscar,Indicativo,you,Presente,search,tú buscas
196,196,to search,buscar,Indicativo,you,Pasado,searched,has buscado
197,197,to search,buscar,Indicativo,you,Futuro,will search,buscarás
198,198,to search,buscar,Indicativo,they,Presente,search,ellos buscan
199,199,to search,buscar,Indicativo,they,Pasado,searched,ellos buscaron
200,200,to search,buscar,Indicativo,they,Futuro,will search,ellos buscarán
201,201,to search,buscar,Perfecto,I,Presente,have searched,he buscado
202,202,to search,buscar,Perfecto,I,Pasado,had searched,había buscado
203,203,to search,buscar,Perfecto,I,Futuro,will have searched,habré buscado
204,204,to search,buscar,Perfecto,you,Presente,have searched,has buscado
205,205,to search,buscar,Perfecto,you,Pasado,had searched,habías buscado
206,206,to search,buscar,Perfecto,you,Futuro,will have searched,habrás buscado
207,207,to search,buscar,Perfecto,he,Presente,has searched,el ha buscado
208,208,to search,buscar,Perfecto,she,Presente,has searched,ella ha buscado
209,209,to search,buscar,Perfecto,he,Pasado,had searched,el habia buscado
210,210,to search,buscar,Perfecto,she,Pasado,had searched,ella había buscado
211,211,to search,buscar,Perfecto,he,Futuro,will have searched,él habrá buscado
212,212,to search,buscar,Perfecto,she,Futuro,will have searched,ella habrá buscado
213,213,to search,buscar,Perfecto,we,Presente,have searched,hemos buscado
214,214,to search,buscar,Perfecto,we,Pasado,had searched,habíamos buscado
215,215,to search,buscar,Perfecto,we,Futuro,will have searched,habremos buscado
216,216,to search,buscar,Perfecto,you,Presente,have searched,has buscado
217,217,to search,buscar,Perfecto,you,Pasado,had searched,habías buscado
218,218,to search,buscar,Perfecto,you,Futuro,will have searched,habrás buscado
219,219,to search,buscar,Perfecto,they,Presente,have searched,han buscado
220,220,to search,buscar,Perfecto,they,Pasado,had searched,habían buscado
221,221,to search,buscar,Perfecto,they,Futuro,will have searched,habrán buscado
222,222,to search,buscar,Imperativo,you,Afirmativo,search,buscar
223,223,to search,buscar,Imperativo,you,Negativo,don't search,no busques
224,224,to search,buscar,Imperativo,we,Afirmativo,let's search,vamos a buscar
225,225,to search,buscar,Imperativo,we,Negativo,let's not search,no busquemos
226,226,to search,buscar,Imperativo,you,Afirmativo,search,buscar
227,227,to search,buscar,Imperativo,you,Negativo,don't search,no busques
228,228,to search,buscar,Continuo,I,Presente,am searching,estoy buscando
229,229,to search,buscar,Continuo,I,Pasado,was searching,yo estaba buscando
230,230,to search,buscar,Continuo,I,Futuro,will be searching,estaré buscando
231,231,to search,buscar,Continuo,you,Presente,are searching,estas buscando
232,232,to search,buscar,Continuo,you,Pasado,were searching,estabas buscando
233,233,to search,buscar,Continuo,you,Futuro,will be searching,estarás buscando
234,234,to search,buscar,Continuo,he,Presente,is searching,el esta buscando
235,235,to search,buscar,Continuo,she,Presente,is searching,ella esta buscando
236,236,to search,buscar,Continuo,he,Pasado,was searching,el estaba buscando
237,237,to search,buscar,Continuo,she,Pasado,was searching,ella estaba buscando
238,238,to search,buscar,Continuo,he,Futuro,will be searching,él estará buscando
239,239,to search,buscar,Continuo,she,Futuro,will be searching,ella estará buscando
240,240,to search,buscar,Continuo,we,Presente,are searching,estamos buscando
241,241,to search,buscar,Continuo,we,Pasado,were searching,estábamos buscando
242,242,to search,buscar,Continuo,we,Futuro,will be searching,estaremos buscando
243,243,to search,buscar,Continuo,you,Presente,are searching,estas buscando
244,244,to search,buscar,Continuo,you,Pasado,were searching,estabas buscando
245,245,to search,buscar,Continuo,you,Futuro,will be searching,estarás buscando
246,246,to search,buscar,Continuo,they,Presente,are searching,ellos estan buscando
247,247,to search,buscar,Continuo,they,Pasado,were searching,estaban buscando
248,248,to search,buscar,Continuo,they,Futuro,will be searching,ellos estarán buscando
249,249,to search,buscar,Continuo Perfecto,I,Presente,have been searching,he estado buscando
250,250,to search,buscar,Continuo Perfecto,I,Pasado,had been searching,había estado buscando
251,251,to search,buscar,Continuo Perfecto,I,Futuro,will have been searching,habré estado buscando
252,252,to search,buscar,Continuo Perfecto,you,Presente,have been searching,has estado buscando
253,253,to search,buscar,Continuo Perfecto,you,Pasado,had been searching,habías estado buscando
254,254,to search,buscar,Continuo Perfecto,you,Futuro,will have been searching,habrás estado buscando
255,255,to search,buscar,Continuo Perfecto,he,Presente,has been searching,el ha estado buscando
256,256,to search,buscar,Continuo Perfecto,she,Presente,has been searching,ella ha estado buscando
257,257,to search,buscar,Continuo Perfecto,he,Pasado,had been searching,el habia estado buscando
258,258,to search,buscar,Continuo Perfecto,she,Pasado,had been searching,ella había estado buscando
259,259,to search,buscar,Continuo Perfecto,he,Futuro,will have been searching,él habrá estado buscando
260,260,to search,buscar,Continuo Perfecto,she,Futuro,will have been searching,ella habrá estado buscando
261,261,to search,buscar,Continuo Perfecto,we,Presente,have been searching,hemos estado buscando
262,262,to search,buscar,Continuo Perfecto,we,Pasado,had been searching,habíamos estado buscando
263,263,to search,buscar,Continuo Perfecto,we,Futuro,will have been searching,habremos estado buscando
264,264,to search,buscar,Continuo Perfecto,you,Presente,have been searching,has estado buscando
265,265,to search,buscar,Continuo Perfecto,you,Pasado,had been searching,habías estado buscando
266,266,to search,buscar,Continuo Perfecto,you,Futuro,will have been searching,habrás estado buscando
267,267,to search,buscar,Continuo Perfecto,they,Presente,have been searching,han estado buscando
268,268,to search,buscar,Continuo Perfecto,they,Pasado,had been searching,habían estado buscando
269,269,to search,buscar,Continuo Perfecto,they,Futuro,will have been searching,habrán estado buscando
270,270,to open,abrir,Indicativo,I,Presente,open,yo abro
271,271,to open,abrir,Indicativo,I,Pasado,opened,abrí
272,272,to open,abrir,Indicativo,I,Futuro,will open,yo abriré
273,273,to open,abrir,Indicativo,you,Presente,open,abre
274,274,to open,abrir,Indicativo,you,Pasado,opened,tú abriste
275,275,to open,abrir,Indicativo,you,Futuro,will open,vas a abrir
276,276,to open,abrir,Indicativo,he,Presente,opens,el abre
277,277,to open,abrir,Indicativo,she,Presente,opens,ella abre
278,278,to open,abrir,Indicativo,he,Pasado,opened,él abrió
279,279,to open,abrir,Indicativo,she,Pasado,opened,ella abrio
280,280,to open,abrir,Indicativo,he,Futuro,will open,él abrirá
281,281,to open,abrir,Indicativo,she,Futuro,will open,ella abrirá
282,282,to open,abrir,Indicativo,we,Presente,open,nosotros abrimos
283,283,to open,abrir,Indicativo,we,Pasado,opened,abrimos
284,284,to open,abrir,Indicativo,we,Futuro,will open,abriremos
285,285,to open,abrir,Indicativo,you,Presente,open,abre
286,286,to open,abrir,Indicativo,you,Pasado,opened,tú abriste
287,287,to open,abrir,Indicativo,you,Futuro,will open,vas a abrir
288,288,to open,abrir,Indicativo,they,Presente,open,ellos abren
289,289,to open,abrir,Indicativo,they,Pasado,opened,ellos abrieron
290,290,to open,abrir,Indicativo,they,Futuro,will open,se abrirán
291,291,to open,abrir,Perfecto,I,Presente,have opened,he abierto
292,292,to open,abrir,Perfecto,I,Pasado,had opened,yo habia abierto
293,293,to open,abrir,Perfecto,I,Futuro,will have opened,habré abierto
294,294,to open,abrir,Perfecto,you,Presente,have opened,has abierto
295,295,to open,abrir,Perfecto,you,Pasado,had opened,habías abierto
296,296,to open,abrir,Perfecto,you,Futuro,will have opened,habrás abierto
297,297,to open,abrir,Perfecto,he,Presente,has opened,el ha abierto
298,298,to open,abrir,Perfecto,she,Presente,has opened,ella ha abierto
299,299,to open,abrir,Perfecto,he,Pasado,had opened,él había abierto
300,300,to open,abrir,Perfecto,she,Pasado,had opened,ella había abierto
301,301,to open,abrir,Perfecto,he,Futuro,will have opened,él habrá abierto
302,302,to open,abrir,Perfecto,she,Futuro,will have opened,ella habrá abierto
303,303,to open,abrir,Perfecto,we,Presente,have opened,hemos abierto
304,304,to open,abrir,Perfecto,we,Pasado,had opened,habíamos abierto
305,305,to open,abrir,Perfecto,we,Futuro,will have opened,habremos abierto
306,306,to open,abrir,Perfecto,you,Presente,have opened,has abierto
307,307,to open,abrir,Perfecto,you,Pasado,had opened,habías abierto
308,308,to open,abrir,Perfecto,you,Futuro,will have opened,habrás abierto
309,309,to open,abrir,Perfecto,they,Presente,have opened,ellos han abierto
310,310,to open,abrir,Perfecto,they,Pasado,had opened,ellos habían abierto
311,311,to open,abrir,Perfecto,they,Futuro,will have opened,habrán abierto
312,312,to open,abrir,Imperativo,you,Afirmativo,open,abierta
313,313,to open,abrir,Imperativo,you,Negativo,don't open,no abrir
314,314,to open,abrir,Imperativo,we,Afirmativo,let's open,vamos a abrir
315,315,to open,abrir,Imperativo,we,Negativo,let's not open,no abramos
316,316,to open,abrir,Imperativo,you,Afirmativo,open,abierta
317,317,to open,abrir,Imperativo,you,Negativo,don't open,no abrir
318,318,to open,abrir,Continuo,I,Presente,am opening,estoy abriendo
319,319,to open,abrir,Continuo,I,Pasado,was opening,estaba abriendo
320,320,to open,abrir,Continuo,I,Futuro,will be opening,estaré abriendo
321,321,to open,abrir,Continuo,you,Presente,are opening,estás abriendo
322,322,to open,abrir,Continuo,you,Pasado,were opening,estabas abriendo
323,323,to open,abrir,Continuo,you,Futuro,will be opening,estarás abriendo
324,324,to open,abrir,Continuo,he,Presente,is opening,el esta abriendo
325,325,to open,abrir,Continuo,she,Presente,is opening,ella esta abriendo
326,326,to open,abrir,Continuo,he,Pasado,was opening,el estaba abriendo
327,327,to open,abrir,Continuo,she,Pasado,was opening,ella estaba abriendo
328,328,to open,abrir,Continuo,he,Futuro,will be opening,él abrirá
329,329,to open,abrir,Continuo,she,Futuro,will be opening,ella abrirá
330,330,to open,abrir,Continuo,we,Presente,are opening,estamos abriendo
331,331,to open,abrir,Continuo,we,Pasado,were opening,estábamos abriendo
332,332,to open,abrir,Continuo,we,Futuro,will be opening,estaremos abriendo
333,333,to open,abrir,Continuo,you,Presente,are opening,estás abriendo
334,334,to open,abrir,Continuo,you,Pasado,were opening,estabas abriendo
335,335,to open,abrir,Continuo,you,Futuro,will be opening,estarás abriendo
336,336,to open,abrir,Continuo,they,Presente,are opening,se están abriendo
337,337,to open,abrir,Continuo,they,Pasado,were opening,estaban abriendo
338,338,to open,abrir,Continuo,they,Futuro,will be opening,ellos estarán abriendo
339,339,to open,abrir,Continuo Perfecto,I,Presente,have been opening,he estado abriendo
340,340,to open,abrir,Continuo Perfecto,I,Pasado,had been opening,había estado abriendo
341,341,to open,abrir,Continuo Perfecto,I,Futuro,will have been opening,habré estado abriendo
342,342,to open,abrir,Continuo Perfecto,you,Presente,have been opening,has estado abriendo
343,343,to open,abrir,Continuo Perfecto,you,Pasado,had been opening,habías estado abriendo
344,344,to open,abrir,Continuo Perfecto,you,Futuro,will have been opening,habrás estado abriendo
345,345,to open,abrir,Continuo Perfecto,he,Presente,has been opening,el ha estado abriendo
346,346,to open,abrir,Continuo Perfecto,she,Presente,has been opening,ella ha estado abriendo
347,347,to open,abrir,Continuo Perfecto,he,Pasado,had been opening,él había estado abriendo
348,348,to open,abrir,Continuo Perfecto,she,Pasado,had been opening,ella había estado abriendo
349,349,to open,abrir,Continuo Perfecto,he,Futuro,will have been opening,él habrá estado abriendo
350,350,to open,abrir,Continuo Perfecto,she,Futuro,will have been opening,ella habrá estado abriendo
351,351,to open,abrir,Continuo Perfecto,we,Presente,have been opening,hemos estado abriendo
352,352,to open,abrir,Continuo Perfecto,we,Pasado,had been opening,habíamos estado abriendo
353,353,to open,abrir,Continuo Perfecto,we,Futuro,will have been opening,habremos estado abriendo
354,354,to open,abrir,Continuo Perfecto,you,Presente,have been opening,has estado abriendo
355,355,to open,abrir,Continuo Perfecto,you,Pasado,had been opening,habías estado abriendo
356,356,to open,abrir,Continuo Perfecto,you,Futuro,will have been opening,habrás estado abriendo
357,357,to open,abrir,Continuo Perfecto,they,Presente,have been opening,ellos han estado abriendo
358,358,to open,abrir,Continuo Perfecto,they,Pasado,had been opening,ellos habían estado abriendo
359,359,to open,abrir,Continuo Perfecto,they,Futuro,will have been opening,habrán estado abriendo
360,360,to bore,"aburrir, perforar",Indicativo,I,Presente,bear,soporto
361,361,to bore,"aburrir, perforar",Indicativo,I,Pasado,bore,yo aburro
362,362,to bore,"aburrir, perforar",Indicativo,I,Futuro,will bear,yo soportaré
363,363,to bore,"aburrir, perforar",Indicativo,you,Presente,bear,tu oso
364,364,to bore,"aburrir, perforar",Indicativo,you,Pasado,bore,tu aburriste
365,365,to bore,"aburrir, perforar",Indicativo,you,Futuro,will bear,vas a soportar
366,366,to bore,"aburrir, perforar",Indicativo,he,Presente,bears,el lleva
367,367,to bore,"aburrir, perforar",Indicativo,she,Presente,bears,ella lleva
368,368,to bore,"aburrir, perforar",Indicativo,he,Pasado,bore,el aburre
369,369,to bore,"aburrir, perforar",Indicativo,she,Pasado,bore,ella llevaba
370,370,to bore,"aburrir, perforar",Indicativo,he,Futuro,will bear,él llevará
371,371,to bore,"aburrir, perforar",Indicativo,she,Futuro,will bear,ella llevará
372,372,to bore,"aburrir, perforar",Indicativo,we,Presente,bear,nosotros llevamos
373,373,to bore,"aburrir, perforar",Indicativo,we,Pasado,bore,nos aburrimos
374,374,to bore,"aburrir, perforar",Indicativo,we,Futuro,will bear,vamos a soportar
375,375,to bore,"aburrir, perforar",Indicativo,you,Presente,bear,tu oso
376,376,to bore,"aburrir, perforar",Indicativo,you,Pasado,bore,tu aburriste
377,377,to bore,"aburrir, perforar",Indicativo,you,Futuro,will bear,vas a soportar
378,378,to bore,"aburrir, perforar",Indicativo,they,Presente,bear,ellos llevan
379,379,to bore,"aburrir, perforar",Indicativo,they,Pasado,bore,ellos aburren
380,380,to bore,"aburrir, perforar",Indicativo,they,Futuro,will bear,ellos soportarán
381,381,to bore,"aburrir, perforar",Perfecto,I,Presente,have borne,he llevado
